[2026-07-15 20:39:37,012: INFO] Connected to redis://default:**@mogon-nhr01:6379/0
[2026-07-15 20:39:38,043: INFO] celery@beobachtung_worker.cpu0627 ready.
[2026-07-15 20:39:43,703: INFO] Executing step 'generate_input' in '/fshpc/antahiri/slurm_modus/merlin/scatter_gather/studies/merlin_scatter_gather_20260715-203943/generate_input'...
[2026-07-15 20:39:43,860: INFO] Executing step 'preprocess' in '/fshpc/antahiri/slurm_modus/merlin/scatter_gather/studies/merlin_scatter_gather_20260715-203943/preprocess'...
[2026-07-15 20:39:43,998: INFO] Executing step 'split' in '/fshpc/antahiri/slurm_modus/merlin/scatter_gather/studies/merlin_scatter_gather_20260715-203943/split'...
[2026-07-15 20:39:44,175: INFO] Executing step 'compute_4' in '/fshpc/antahiri/slurm_modus/merlin/scatter_gather/studies/merlin_scatter_gather_20260715-203943/compute_4'...
[2026-07-15 20:39:44,196: INFO] Executing step 'compute_3' in '/fshpc/antahiri/slurm_modus/merlin/scatter_gather/studies/merlin_scatter_gather_20260715-203943/compute_3'...
[2026-07-15 20:39:44,237: INFO] Executing step 'compute_1' in '/fshpc/antahiri/slurm_modus/merlin/scatter_gather/studies/merlin_scatter_gather_20260715-203943/compute_1'...
[2026-07-15 20:39:44,298: INFO] Executing step 'compute_2' in '/fshpc/antahiri/slurm_modus/merlin/scatter_gather/studies/merlin_scatter_gather_20260715-203943/compute_2'...
[2026-07-15 20:39:45,300: INFO] Executing step 'aggregate' in '/fshpc/antahiri/slurm_modus/merlin/scatter_gather/studies/merlin_scatter_gather_20260715-203943/aggregate'...
[2026-07-15 20:39:45,463: INFO] Executing step 'postprocess' in '/fshpc/antahiri/slurm_modus/merlin/scatter_gather/studies/merlin_scatter_gather_20260715-203943/postprocess'...
